nct	outcome_index	title_or_group	reason
NCT03383679			no results section
NCT01274962			no results section
NCT01037127			no response-titled outcome
NCT01251627			no results section
NCT02499861			no results section
NCT00193154			no results section
NCT00642759			no results section
NCT00226980			no results section
NCT00002879			no results section
NCT00010179			no results section
NCT01342679			no results section
NCT04827862			no results section
NCT00425646			no results section
NCT00204646			no results section
NCT00283803			no results section
NCT03205761			no results section
NCT04121442			no results section
NCT05774873			no results section
NCT00278694			no results section
NCT01303029			no results section
NCT01076231			no results section
NCT01366131			no results section
NCT00557102			no results section
NCT00952380			no results section
NCT02231762			no results section
NCT03027388			no results section
NCT01474642			no results section
NCT00322842			no results section
NCT02178670			no results section
NCT00535470			no results section
NCT00108069			no results section
NCT01851941			no results section
NCT03083041			no results section
NCT02609022			no results section
NCT02152462			no results section
NCT00883688			no results section
NCT00775073			no results section
NCT01522469			no results section
NCT01633541			no results section
NCT01689766			no results section
NCT00515931			no results section
NCT00259402			no results section
NCT03440359			no results section
NCT00095927			no results section
NCT00034827			no results section
NCT00006122			no results section
NCT00859651			no results section
NCT02607202			no results section
NCT06010303			no results section
NCT02015754			no results section
NCT02705196			no results section
NCT00185796			no results section
NCT00086996			no results section
NCT01689662			no results section
NCT00896454			no results section
NCT04120454			no results section
NCT00043394			no results section
NCT02795156			no results section
NCT01328249			no results section
NCT00831493			no results section
NCT02608307			no results section
NCT01962896			no results section
NCT05076266			no results section
NCT00021229			no results section
NCT02370888			no results section
NCT01177683			no results section
NCT00636805			no results section
NCT00537173			no results section
NCT02310594			no results section
NCT00507429			no results section
NCT04658342			no results section
NCT00809341			no results section
NCT00517361			no results section
NCT00588822			no results section
NCT00956072			no results section
NCT02521051			no results section
NCT04103645			no results section
NCT01495988			no results section
NCT02960282			no results section
NCT01474551			no results section
NCT00203931			no results section
NCT00003495			no results section
NCT02443103			no results section
NCT03592641			no results section
NCT03511222			no results section
NCT02975739			no results section
NCT02469701			no results section
NCT00431613			no results section
NCT04588038			no results section
NCT00601926			no results section
NCT01617980			no results section
NCT02047149			no results section
NCT00615589			no results section
NCT00816582			no results section
NCT03322215			no results section
NCT00496379			no results section
NCT02384746			no results section
NCT00369291			no results section
NCT00429858			no results section
NCT00625742			no results section
NCT02878473			no results section
NCT03081923			no results section
NCT00133224			no results section
NCT05435846			no results section
NCT01116479			no results section
NCT01186705			no results section
NCT01549379			no results section
NCT01222416			no results section
NCT00377247			no results section
NCT03342417			no results section
NCT02994784			no results section
NCT01693276			no results section
NCT00082017			no results section
NCT00002668			no results section
NCT01908387			no results section
NCT01468818			no results section
NCT03087708			no response-titled outcome
NCT00005997			no results section
NCT01685606			no results section
NCT01163526			no results section
NCT03291899			no results section
NCT00176293			no results section
NCT01366833			no results section
NCT00895648			no results section
NCT00003485			no results section
NCT03570476			no results section
NCT01732640			no results section
NCT03641326			no results section
NCT01321008			no results section
NCT03585725			no results section
NCT00006371			no results section
NCT00539500			no results section
NCT02744209			no results section
NCT04982471			no results section
NCT04631744			no results section
NCT01300871			no results section
NCT00968799			no results section
NCT00898781			no results section
NCT02881554			no results section
NCT01109953			no results section
NCT00088972			no response-titled outcome
NCT00021112			no results section
NCT01133756			no results section
NCT02597075			no results section
NCT01015300			no results section
NCT00788307			no results section
NCT00584909			no results section
NCT00250718			no results section
NCT03736720			no results section
NCT02945813			no results section
NCT01681368			no results section
NCT04716725			no results section
NCT00458549			no results section
NCT04634110			no results section
NCT01884740			no results section
NCT00361244			no results section
NCT01949740			no results section
NCT00006099			no results section
NCT01215136			no results section
NCT02470533			no results section
NCT02581384			no results section
NCT02730884			no results section
NCT00005834			no results section
NCT00443300			no results section
NCT00002934			no results section
NCT03257722			no results section
NCT02887521			no results section
NCT00107614			no results section
NCT01469975			no results section
NCT00984490			no results section
NCT00322920			no results section
NCT01759303			no results section
NCT00756470			no results section
NCT01499160			no results section
NCT03737123			no results section
NCT00901303			no results section
NCT03240861			no results section
NCT01052766			no results section
NCT00499382			no results section
NCT00204997			no results section
NCT02139774			no results section
NCT01135550			no results section
NCT01645124			no results section
NCT00760604			no results section
NCT00526799			no results section
NCT00072449			no results section
NCT01938716			no results section
NCT00860158			no results section
NCT00453193			no results section
NCT04230304			no results section
NCT02145078			no results section
NCT02508636			no results section
NCT02936206			no results section
NCT00765765			no results section
NCT03679624			no results section
NCT01704885			no results section
NCT00958074			no results section
NCT00527124			no results section
NCT00448097			no results section
NCT02510950			no results section
NCT02727777			no results section
NCT03428581			no results section
NCT00674011			no results section
NCT00938457			no results section
NCT00555477			no results section
NCT04825275			no results section
NCT03469011			no results section
NCT00937612			no results section
NCT02074436			no results section
NCT00176475			no results section
NCT02774681			no results section
NCT01005875			no results section
NCT03209401			no results section
NCT02590107			no results section
NCT00360828			no results section
NCT00449657			no results section
NCT01030757			no results section
NCT00392665			no results section
NCT00899951			no results section
NCT03904251			no results section
NCT00062231			no results section
NCT00946283			no results section
NCT02612194			no results section
NCT04250051			no results section
NCT02511756			no results section
NCT01078441			no results section
NCT01234922			no results section
NCT01313559			no results section
NCT01815346			no results section
NCT00060294			no results section
NCT01525745			no results section
NCT00529230			no results section
NCT03116529			no results section
NCT00657553			no results section
NCT00206453			no results section
NCT04442581			no results section
NCT00027131			no results section
NCT00003511			no results section
NCT04159896			no results section
NCT04049383			no results section
NCT02433483			no results section
NCT00941928			no results section
NCT00303628			no results section
NCT02109224			no results section
NCT00203996			no results section
NCT00351039			no results section
NCT01681433			no results section
NCT00019747			no response-titled outcome
NCT01878708			no results section
NCT01200004			no results section
NCT01418001			no results section
NCT02114827			no results section
NCT00983346			no results section
NCT01086345			no results section
NCT00368329			no results section
NCT00722098			no results section
NCT00930332			no results section
NCT01599832			no results section
NCT01916109			no results section
NCT01249157			no results section
NCT01366612			no results section
NCT02042950			no results section
NCT02055170			no results section
NCT00573391			no results section
NCT02134886			no results section
NCT00003491			no results section
NCT02875613			no results section
NCT00631059			no results section
NCT00924066			no results section
NCT01446874			no results section
NCT02782182			no results section
NCT02129062			no results section
NCT04616651			no results section
NCT03743480			no results section
NCT06315296			no results section
NCT01685255			no results section
NCT00505921			no results section
NCT01885949			no results section
NCT03597009			no results section
NCT01478321			no response-titled outcome
NCT01060514			no results section
NCT00003516			no results section
NCT02067884			no results section
NCT01400958			no response-titled outcome
NCT01479348			no results section
NCT02400814			no results section
NCT00004261			no results section
NCT03593993			no results section
NCT00579111			no results section
NCT00861471			no response-titled outcome
NCT04623515			no results section
NCT00206440			no response-titled outcome
NCT03558750			no results section
NCT02354326			no results section
NCT00564876			no results section
NCT00335140			no results section
NCT01541358			no results section
NCT05807074			no results section
NCT02319304			no results section
NCT00320190			no results section
NCT01624090			no results section
NCT01392586			no results section
NCT01817205			no results section
NCT01472445			no results section
NCT01100242			no results section
NCT01741753			no results section
NCT01846624			no results section
NCT01740154			no results section
NCT00608595			no results section
NCT05017246			no results section
NCT00216073			no results section
NCT00651482			no results section
NCT02112682			no results section
NCT03709082			no results section
NCT04501094			no results section
NCT01028612			no results section
NCT00612677			no results section
NCT02888301			no results section
NCT00499681			no results section
NCT00112619			no results section
NCT00113919			no results section
NCT03747419			no results section
NCT00942422			no results section
NCT02715102			no results section
NCT03007719			no results section
NCT00003515			no results section
NCT01799135			no results section
NCT05567835			no results section
NCT01183884			no results section
NCT02420652			no response-titled outcome
NCT00390364			no results section
NCT00003479			no results section
NCT04037462			no results section
NCT01752023			no results section
NCT00623129			no results section
NCT00466856			no results section
NCT05634577			no results section
NCT00118131			no results section
NCT02149173			no results section
NCT00720837			no results section
NCT01354951			no results section
NCT00724061			no results section
NCT01498588			no results section
NCT00272870			no results section
NCT02815397			no results section
NCT04588246			no results section
NCT00003524			no results section
NCT07045727			no results section
NCT00478140			no results section
NCT00810576			no results section
NCT00902668			no results section
NCT01228435			no results section
NCT01312818			no results section
NCT00296010			no results section
NCT02949843			no results section
NCT00695968			no results section
